,rank,title,link,image_url,describe,heat
23,24,今年十二岁，同龄人都喜欢追星，而我喜欢看《水浒传》。我该不该变得合群一些？,,https://pic2.zhimg.com/50/v2-c77b37e8cd19ef4b7af2f01b5c8ef7ba_b.jpg,https://www.zhihu.com/question/559363015,64 万热度
24,25,《倩女幽魂》里，为什么鬼怪不怕寺庙?,《倩女幽魂》里，小倩，树妖姥姥，这些鬼怪妖怪，为何不怕寺庙？按理说，即使破败的寺庙，鬼怪也不敢接近，毕竟既然有鬼，肯定有神，寺庙里的神像肯定开过光，这也是过路旅人喜欢借宿寺庙一个原因，能保平安,https://pic2.zhimg.com/80/v2-abebcefbb3cef4bd37b141e6913c3f5f_720w.webp?source=1940ef5c,https://www.zhihu.com/question/397900454,59 万热度
25,26,你什么时候被狗的智商震惊了？,指令什么的就不说了 ，一般指令都比较短 ，重复性高。我家狗有两次让我觉得它好像听得懂我们的长段对话 。一次是我和我妈妈聊天， 说皮皮刚刚发生了搞笑的事情， 我家狗本来是一张严肃脸 听到我们的对话就笑了,https://pic2.zhimg.com/50/d012a40b1ac59ea694771743a7d18822_b.jpg,https://www.zhihu.com/question/34643719,57 万热度
26,27,如何看待 Gumayusi 采访称「八强最想遇到 TES，因为 Jackeylove 打的好」？,在 S12 小组赛第五日 A 组出线晋级战的第六场比赛中，T1 战胜 EDG，以小组第一晋级八强。赛后 Gumayusi 接受了希然的采访，采访中 Gumayusi 表示不想遇到 DK，因为战术准备麻,https://pic1.zhimg.com/80/v2-cb1826deacb2ad48acf8cc3b8492213b_720w.png,https://www.zhihu.com/question/559296299,47 万热度
27,28,学习成绩差是一种罪吗？,,,https://www.zhihu.com/question/559504013,45 万热度
28,29,北京四所高校将建设雄安新校区，为什么是这四所高校率先落地雄安？会有哪些影响？,北京交通大学、中国地质大学（北京）、北京科技大学、北京林业大学首批四所北京高校确定进驻，有望在未来 3—4 年完成雄安新校区建设并投入使用。 财新关注到，除上述四所高校外，另有北京邮电大学在学校发展「,https://pic1.zhimg.com/80/v2-4351cfcf8fbc0bd0188f4ea0588cc278_1440w.png,https://www.zhihu.com/question/558866817,43 万热度
29,30,鄱阳湖水位止跌回升，江西还将「旱」多久？干旱对鄱阳湖生态有何影响？我们该如何应对旱情？,鄱阳湖水位止跌回升。10 月 9 日 16 时，鄱阳湖星子站水位抬升至 7.31 米，比原历史最低水位高 0.20 米。同日，江西省防汛抗旱指挥部也将抗旱二级应急响应调整至三级应急响应。7 月 12 ,https://pica.zhimg.com/80/v2-efbd8bb0d39c19e636e48d16b3ebe158_1440w.webp?source=1940ef5c,https://www.zhihu.com/question/559235747,37 万热度
30,31,为什么《守望先锋 2》里很多老玩家都不喜欢新手？,,https://pic2.zhimg.com/v2-d8f9f3f14042be99f2010607eeacd84e_qhd.jpg?source=57bbeac9,https://www.zhihu.com/question/558573518,30 万热度
31,32,坚持每天跑步五公里，两年后会有什么变化？,,https://pic2.zhimg.com/80/v2-ee5704cb4cc586dd42f8aa306145e62f_720w.jpg?source=1940ef5c,https://www.zhihu.com/question/418315082,8 万热度
32,33,自己正在变老的明显特征是什么？,,https://pica.zhimg.com/80/v2-02ca0c2039dd51732460dd0e02d70a40_1440w.png,https://www.zhihu.com/question/557665060,6 万热度
33,34,《赛博朋克：边缘行者》都 2077 年了，为什么露西还在抽传统香烟？,,https://pic1.zhimg.com/80/v2-dabdd59b59187ba8b7e690375c6ee523_1440w.webp?source=1940ef5c,https://www.zhihu.com/question/558027426,6 万热度
34,35,法拉利双 11 前夕抢开官方服装店，风衣售价超 4 万，汽车品牌为何钟爱跨界？这对奢侈品市场有何影响？,赶在今年「双 11」前夕，法拉利开出中国首家官方服装（网）店，销售产品主要围绕高级时装与配饰，并将于 10 月 24 日开启预售。记者通过对比价格发现，法拉利推出的服饰中，T 恤类价格大致在 2000,https://pic3.zhimg.com/80/v2-757c859b9227b2b1f7975c053197fc66_1440w.webp?source=1940ef5c,https://www.zhihu.com/question/559325018,6 万热度
35,36,长沙拟规定生三孩及以上家庭每孩补贴 1 万，该项补贴的实施是出于对哪些方面的考虑？,据湖南省多家媒体报道，长沙市委、市政府日前印发《关于优化生育政策促进人口长期均衡发展的工作方案》（简称「《工作方案》」），提出对夫妻双方共同依法生育三个及以上子女的本地户籍家庭，三孩及以上每孩可享受一,https://pic2.zhimg.com/80/v2-822d448f08c6c1589b0319ea37865b88_1440w.png,https://www.zhihu.com/question/547345908,6 万热度
36,37,人脑类器官细胞首次被植入幼年大鼠大脑，证明了植入的人类神经元能够影响动物的行为，这一发现有哪些意义？,研究人员已将人类神经元移植到大鼠大脑中，这一开创性的工作意味着科学家们现在可以模拟精神疾病患者的脑细胞在活体大脑中的致病机制，并有望实时评估药物的影响，从而为癫痫、精神分裂症和自闭症等疾病研究提供新线,https://pic2.zhimg.com/v2-6d100742f94b510de7684980a8623571_b.jpg,https://www.zhihu.com/question/559251344,6 万热度
37,38,有没有什么是考研前不知道，考研后才明白的事情呢？,不管是考研前选学校、备考中的问题，还是调剂技巧，或者考研「冷知识」，希望学长学姐们能给些指导！,https://pica.zhimg.com/80/v2-4623be4425e0c462d5e9773417196d5b_1440w.webp?source=1940ef5c,https://www.zhihu.com/question/551907944,6 万热度
38,39,孩子小学阶段到底应该陪学还是放养？,有人说小学阶段应该让孩子自由发展，有利于身心健康，思维更开阔；有人说小学应该陪学，把孩子的基础打好，养成好的习惯，到底应该怎么做？,https://pic2.zhimg.com/50/v2-baa104fdeb3baaa056eb2e3cd93f799b_b.jpg,https://www.zhihu.com/question/520615190,6 万热度
39,40,英国财政大臣夸西·克沃滕在发布「迷你预算」引发金融动荡和保守党议员反对后被解职，如何看待此事？,据英国广播公司刚刚消息，英国财政大臣夸西·克沃滕辞职。 英媒：英国财政大臣夸西·克沃滕辞职英媒：英国财政大臣夸西·克沃滕辞职 当地时间 10 月 14 日，在发布「迷你预算」引发金融动荡和保守党议员反,https://pic1.zhimg.com/80/v2-9c6029e06fff8b52091d13d363dd88f0_1440w.png,https://www.zhihu.com/question/559476838,6 万热度
40,41,如果 AI 作画继续发展，那人类画师是不是不管怎么努力都无法超越 AI？,最近看了各种 AI 画出来的画，感觉已经不逊于一些经验丰富的画师。AI 能够一直学习进步，如果 AI 继续发展下去的话，人类画手还有继续努力的意义么？,https://pic3.zhimg.com/80/v2-af3a0877d774cd2af0398f9e484fc0d7_1440w.webp?source=1940ef5c,https://www.zhihu.com/question/559368359,6 万热度
41,42,怎样在受局限的环境下，穿得好看又得体？,比如在体制内工作，或者是老师等等相对比较保守的单位，怎么穿能更好地融入传统环境？ 在这类传统环境中工作，在穿搭方面有哪些潜在的标准呢？,https://pic4.zhimg.com/50/v2-2dd66386cf74e8eee2d7bd423e7f636e_b.jpg,https://www.zhihu.com/question/554656312,6 万热度
42,43,男子心跳骤停，医生持续心肺复苏抢救 1 小时后恢复心跳，如何从医学角度解读？,近日，广西北海 61 岁男子在家中突发心跳停止，120 急救中心医务人员持续心肺复苏 1 个小时后，男子恢复心跳。后续在急诊 ICU 的抢救和康复下，神智完全清醒，康复良好，能够坐起进食、正常交流。 ,https://pic1.zhimg.com/80/v2-f57f75b6e4bc73bc0bced64416ebfd3b_720w.png,https://www.zhihu.com/question/559558833,6 万热度
43,44,请问大家可以接受长期租房吗？,希望听听不同年龄层，不同性别的回答。以及租房是否会影响婚恋。,https://pic3.zhimg.com/50/v2-50496abdc3c696920b66e140d7e98d7f_b.jpg,https://www.zhihu.com/question/360180061,6 万热度
44,45,北京 2023 年高考报名 11 月 1 日开始，有哪些信息值得关注？,今天，《北京教育考试院关于做好北京市 2023 年普通高等学校招生报名工作的通知》发布。北京市 2023 年普通高等学校招生报名工作于 2022 年 11 月进行。 （一）报名须符合以下条件 遵守中华,https://pica.zhimg.com/80/v2-a6815221a0fe3f6d2b2f83b553e9d805_1440w.png,https://www.zhihu.com/question/559337519,6 万热度
45,46,俄外交部称俄美就《新削减战略武器条约》所规定的武器数量交换了相关通知，哪些信息值得关注？有哪些影响？,俄罗斯外交部当地时间 14 日表示，俄罗斯和美国在 9 月就新裁减战略武器条约所规定的武器数量交换了相关通知。俄外交部：俄美就《新削减战略武器条约》所规定的武器数量交换了相关通知,https://pic1.zhimg.com/80/v2-435621307e6817b7f6fd176b27e3d69d_1440w.webp?source=1940ef5c,https://www.zhihu.com/question/559510145,6 万热度
46,47,拉尼娜事件持续影响，今年「冷冬」还是「暖冬」？还有哪些因素会影响冬季气候？,拉尼娜事件是影响气候的重要因素之一。国家气候中心最新监测结果显示，赤道中东太平洋拉尼娜事件在进一步持续，预计延续到 2022/2023 年冬季。 今年 8 月，世界气象组织依据全球长期预报产品中心预测,https://pic1.zhimg.com/80/v2-fd816aa6948d9fc8f5cc5f3bf17060ca_1440w.webp?source=1940ef5c,https://www.zhihu.com/question/559446952,6 万热度
47,48,微信上线「刷掌支付」，已在深圳投入测试，与指纹支付技术有何不同？如何看待互联网行业热衷开发支付方式？,Tech 星球独家获悉，微信内已上线「微信刷掌支付」小程序，可为用户更加便捷的管理刷掌支付，但刷掌支付功能需要在刷掌设备中开通。 刷掌支付是继密码支付、指纹支付、刷脸支付后，微信的又一新支付方式。据悉,https://pic3.zhimg.com/80/v2-9fb2c856b1f0d4614887e79cb205557b_1440w.png,https://www.zhihu.com/question/559352633,6 万热度
48,49,游戏画质越来越高了，游戏性也越来越丰富，但是为什么没有了以前小时候的感觉？,以前玩跟小伙伴玩魂斗罗都能高兴一整天，现在打开如今的 3a 大作，却缺乏了玩下去的动力，基本都是买了之后很快就吃灰了,https://pic2.zhimg.com/80/v2-a28a402b84410f88f581e482afbed80e_1440w.png,https://www.zhihu.com/question/487932948,6 万热度
49,50,人类与 AI 第三次对决，象棋大师谢靖对战象棋机器人，该对决有哪些看点？人类是否有可能扳回一局？,近日，第三次人类与机器之间的智力对决即将在上海拉开序幕。 据了解，此次中国象棋特级大师谢靖，将对战装载了最新人工智能程序的象棋机器人。 一代棋王——有「胡司令」之称的胡荣华特级大师，也将亲临现场，为广,https://pic1.zhimg.com/80/v2-625afc61ef82230060d89d163c38349d_1440w.webp?source=1940ef5c,https://www.zhihu.com/question/559350992,6 万热度
